,Classificacao,Tweet
50,Romance,tive lendo pelo twitter e fiquei com vontade de falar sobre dizer uma menina de anos não faria uma fanfic é o mesmo que nunca vi uma menina de anos toda menina de anos fanficou alguma coisa ainda mais na época que o filme passa início dos anos segue o fio 
51,Romance, nessa fic acho que não pelo que me lembro ambas não eram ciumentas a esse ponto a trama dessa fic gira em torno das duas e da filhinha da tiff onde o pai da menina tenta tirar a criança da tiffany
52,Romance,a protagonista desenha fanfic com anos como assim a menina age como a idade dela 
53,Romance,a menina atua fanficando kkkkkkk
54,Romance,rindo demais com todas replys sério falar q é irreal meninas de anos fazer fanfic vcs não sabem e não estão preparados para o q uma menina de anos ainda mais no auge da nerdice é capaz de fazer kkk
55,Romance,do nada lembrei que sonhei acho que uma menina que sigo tá pegando uma outra mina que sigo agora não acho nos tweets se é verdade ou não não tenho intimidade pra perguntar pra nenhuma das duas só queria confirmar se é fofoca ou fic
56,Romance,alerta de causo que parece fanfic mas eu juro pela minha felicidade que não é tem uma menina na sala que se chama kardashian
57,Romance, mano que bizarro e esse filme lixo veio de uma fanfic do wattpad em vez de adaptarem uma fanfic de qualidade eles reproduzem cópias de tons de cinza que é basicamente um enredo meia boca com porno adolescente não faz nem sentido um cara rico querendo o wifi da menina mano
58,Romance, não é fic não amg é um livro um romance que espero terminar até o meio do ano
59,Romance,parem de fazer fanfic imediatamente a vida é mais que romance e putaria rapaziada
60,Romance, estava eu em uma festa toda marota no auge dos meus anos idade que vivia aguardando o momento em que minha vida se tornaria uma fanfic notando um boyzinho bonitinho ele parecia me notar também começou então a missão de conquistar a atenção 
61,Romance,pausa na fic para falar que esse romance tá demorando de mais
62,Romance,o jeito que essa menina fica criando fanfic é diferente
63,Romance,o mundo era mais bonito quando eu só lia fanfic era apaixonada pelos personagens e não pelas pessoas reais vivia meu mundo e achava que a qualquer momento trombaria com uma menina de coque frouxo saindo do starbucks
64,Romance, socorro me encontro extremamente sensível feliz te vendo tão contente com a fic que bom que vc conseguiu aproveitar a noite lendo 
65,Romance, isso aí era meme pq o menino da foto parece muito com o namorado dela já fui averiguar se a fic era real
66,Romance,a fic q eu to montando com essa meninameu pai amado
67,Romance,a menina que eu sigo no tt falando do morro dela acho incrível renderia uma ótima fanfic
68,Romance,hoje vi uma menina com a tatuagem da fanfic do neoqav
69,Romance,aí blz passou essa hora da dinâmica ser a gente pedindo comida em um restaurante e minha mente fanfiqueira jurando que a gente já tava em um encontro
70,Romance,eu tenho q parar de imaginar q vou viver um romance de livros fanfic é por isso q eu fico frustrada
71,Romance, fic você vai encontrar ele e viver um romance com ele
72,Romance, eu vivo por uma fic colegial friends to lovers ou strangers to friends to lovers amo tbm mitologia e soulmatesss tanto q tenho uma os com esses dois misturados não sei explicar o gênero mas sabe fic q o romance acontece em ambiente de trabalho adoro
73,Romance,se em hell q eh uma long fic mais lentinha no romance q fake meu alcance caiu pra caralho quando eu soltar akai só vai ter eu e pessoas acompanhando
74,Romance,apaixonado no menino que mora a quilômetros de mim será se um dia a fanfic que eu criei da gente vai acontecer de verdade 
75,Romance,a menina tem um card inteiro no fixado pra fanfic e não tem uma fanfic
76,Romance,fui assistir através de minha janela e parecia q eu tava lendo fic de uma menina d anos do wattpad
77,Romance, acho um absurdo críticar a menina pq nem fic ela fez só adaptou se quer reclamar com alguem deveria falar com a autora verdadeira
78,Romance, queria me beijar na praça da alegria daí eu meio q virei né daí ele não me beija na rural n daí eu vc é branco ele sai daí palmiteira do crl rimos a fic pronta o drama do menino branco
79,Romance,a fic uma menina passou pela catraca do ônibus e o botton de arco íris dela caiu no chão acabei pegando pra ela pq pelo visto ela não percebeu e ela agradeceu e sorrimos um pra outra aí a mulher que estava do meu lado saiu e não é que ela veio sentar do meu lado mesmo no sol 
80,Romance,viny real eh a antagonista entrometida e arranhada daquelas fanfic adolescente de romance do wattpad 
81,Romance, passou o date todo ouvindo fic então kkkkkkkk
82,Romance,se esse diálogo aqui não for fic esse menino precisa sair urgentemente pra se cuidar 
83,Romance,a fanfic da gata eu voltar pra recife e lá vai ter o show de menor tody no nb aí eu vou e vou dormir na casa de uma amiga e pá aí vou pro show chegando lá encontro ele mariana larissa e pá o nosso bonde q nois conhece aí ele me ver e não me reconhece nem eu reconheço ele e 
84,Romance,eu era tao dodoi gostava de fanfic dark romance 
85,Romance,vou contar pra vcs a fic do meu sonho com o menino q eu pego peguei pegava indefinido 
86,Romance, simm imagina o encontro ao som de daniel já criei a fanfic kkkkk 
87,Romance,lembrando aqui de quando lia a fanfic little crush mds mts surtos por zayn
88,Romance, so qria entender ql foi a fic dessa menina
89,Romance,é normal eu criar uma fic na minha cabeça de um romance adolescente clichê com pessoas q eu obviamente nunca terei nd e concerteza nunca irá acontecer mas por algum motivo eu sonhe q um dia aconteça 
90,Romance, eu escrevia fanfic camren pro wattpad quando eu tinha anos daí minha professora de redação na época minha prof preferida disse que leu tipo eeeh eu li suas histórias minha cara foi no chão menina eu escrevia cada naquilo ali
91,Romance,eu quando sou dependente emocional e encho minha cabeça de fic e série de romance 
92,Romance,kkkkk aos eu tinha mais de quinze fanfics em andamento shipando bandomen de vk os temas variavam desde o básico romance adolescente colegial até histórias de suspense e assassinato toda vez que eu encontrava minha prima a gente escrevia uma fanfic nova 
93,Romance,com anos eu escrevia fic onde o bill o tom é esse o nome dele de tokio hotel viviam com uma menina melhor amiga deles que era obviamente minha self insert 
94,Romance,queria viver um romance de fanfic mas qualquer pessoa que chega em mim eu recuso 
95,Romance,eu falei que eu gosto de fanfic o menino da rindo muito da minha cara eu vou bater nele
96,Romance,menina morre de depressao após terminar fanfic sad
97,Romance, menina tava ontem comentando sobre a fic com minha amiga deu muita sdds a a a a a fazia tanto tempo que eu não entrava no grupo aí fui olhar pra ver se teve atualização 
98,Romance, a vi gostar da caitlyn mesmo ela sendo “nova dms na época” ficar com a menina depois bebada tipoo eu tava achando ok mas com a informação de que a vi já gostava dela isso parece mt “proposital” e essa fic viro creeppasta sksk
99,Romance, ai amg nem é romance eu acho que não tá aparecendo mais eu me iludindo e fanficando sozinha mesmo
100,Romance,a menina falando q a fic ruim eh uma das favs dela garota vai se tratar
101,Romance, amg eu escrevia fanfic de naruto de one direction e de pjo com uns personagena self insert meu principalmente os de pjo a sorte foi que eu nunca postei mas eu forçava minha prima a ler todas deve ser por isso q atualmente a gnt n se fala mais eu traumatizei a menina 
102,Romance, aquela menina de ontem amg tá fznd a fic lá totalmente preocupante
103,Romance, aquela menina de ontem amg tá fznd a fic lá no perfil dela
104,Romance, nuss graças a deus pela sua nova obsessão então ela vai me proporcionar muitas alegrias já me encontro ansiosa para ler a fic dos rivais a tensão dessas são sempre as melhores
105,Romance,a simone falando q o bebê é menino e q ela nunca erra kkkk é o fim da fanfiqueira 
106,Romance, não encontro a pessoa que disse que queria ver minha pasta de mas tá aqui 
107,Romance,a menina vivendo uma fic com o gage gomez 
108,Romance,mn eu sinto vontade de ler esse livro infelizmente os anos lendo fanfic romance gay me fizeram enjoar que odio pqp 
109,Romance,mano eu tô vivendo umas coisas mt surreal com esse menino a primeira vez q a gente fico foi na laje da minha casa vendo as estrelas já corremos as da manhã chovendo voltando de uma festa sinto q eu tô vivendo a fanfic o irmão da minha melhor amg
110,Romance, naoo eu e a menina que fez somos amigas mas foi pura coincidência haahhahahaha eu não tinha visto o comentário dela e ela não tinha visto meu plot ela vai fazer uma fanfic de capítulos e eu vou fazer au mas a história é diferente hahahahaha
111,Romance, com todo respeito mas nossa parece que fizeram no ibis paint pra uma fic do wattpad feita por uma menina de anos
112,Romance,queria muito viver uma fanfic não precisa ser de romance uma de qualquer coisa parece que minha vida tá tão chata eu só faço coisa pra faculdade
113,Romance, ai menina a fic tava a coisa mais linda ai do nada mó tristeza ja larguei que isso
114,Romance,a pessoa achando ruim a menina com anos escrevendo fanfic como se das fanfics nn fosse de gnt dessa idade 
115,Romance,lembrando aqui da fic que o azriel não pode dormir no mesmo quarto que a elain pq eles estão no plot de romance proibido daí ele manda as sombras irem trepar com ela no lugar dele
116,Romance, esse menino vive de uma fan fic na cabeça dele
117,Romance, fanfic de hellboy mas a menina não era elfa 
118,Romance, aí menina aumenta a fic desse jeito
119,Romance,a fanfic de hoje é que sexta encontrei aleatoriamente num bar hetero top uma menina que dei match no tinder achava que era fake e parei de falar lá estava ela no bar começamos a conversar de novo depois disso e descubro que ela escuta minhas músicas 
120,Romance, ele só elogiou a menina o tanto de membro que já elogiou teume e flertou mas todo mundo levou na brincadeira mas essa doida também fica alimentando a fic sabendo como fã é sempre vai ter gente shippando e gente brigando e no final quem se prejudica é o yedam
121,Romance, como assim várias cabou minha fanfic 
122,Romance, saaaabe e sabe muito viu não é a primeira vez que ouço ele falando disso kkkkkkkkk sabe o que é broderagem fanfic passo mal com esse menino kkkkkkk
123,Romance,já pararam pra pensar que é muito estranho vc chamar uma história do wattpad com o tema principal sendo adrenalina de fanfic tipo se me falam fanfic eu só me lembro de romance pra mim história de aventura ou fantasia tem que se chamar história 
124,Romance, pra vc ver como o cérebro é doido né menina…ele ouviu o filme e projetou a fic na minha mente kkkk
125,Romance,lembrando da recaída que eu tive com a minha namorada pelo pinterest parece até fic de romance drama 
126,Romance, to shippando ainda mais dps q li a fic do watt kkkk 
127,Romance, c já leu a fanfic do wattpad 
128,Romance,ele parece aquelas mina fanfiqueira que sonha em brigar com o crush pra depois ser atropelada e ele visitar ela no hospital dizendo que ama ela 
129,Romance, eu tava lendo a fic q fizeram no watt kkkkk 
130,Romance,tô tão obcecada pelos edits de gustavo ao som de lana del rey n me cancele q achei uma fanfic sobre eles dois olha isso vey 
131,Romance,eu já li uma fanfic de romance que chegou em um ponto da estória que se via necessário a personagem tinha passado por um relacionamento abusivo e isso estava começando a ser introduzido no enredo então tinha vários flashbacks do relacionamento mostrando o lado abusivo 
132,Romance,a fanfic no meio suspense pra saber se eles iam ficar juntos ou nao a menina me posta um capítulo de anos no futuro com eles casados perdeu toda a emoção e ferrou com o enredo
133,Romance,kakakakkakakakak mds a paulina fanficando romance pra mim e o auge de hj
134,Romance, ne isso tudo foi causado pela gossip postou aquilo e ja começou a fic dps de verem o carinha no elevador o surto triplicou kk e no final o encontro de milhões era ele e a lala
135,Romance, mas olha as coisas melhorando kkkkkkk até fic já apareceu menina
136,Romance, a menina do balanço kkk ja ate criei uma fic mto fofa na kinha cabeca
137,Romance,sensação de que todos os filmes de romance hoje em dia saíram de fanfic
138,Romance, kkkkkkkkkkkkkkkkk o nome da fic romance por um café gelado
139,Romance,preciso de uma fanfic boa e que ja esteja finalizada mas não encontro nenhuma que odio
140,Romance,bom dia gaes depois de jogar shade e criar fanfic no site dêem stream pra envolver a menina precisa almoçar hoje 
141,Romance, o mais insano é que ela não escreve fanfic ela só faz vários desenhos dela e o menino que ela tem um crush a coisa mais normal do mundo pra um pessoa de anos
142,Romance, roa gay homofobico cara é claramento bissexual assumido só que ele é tipo ceo de fanfic e romance adolescente antigo não sei se o atual evoluiu do frio calculista pra abusivo e criminoso 
143,Romance,a melhor fic do momento é a criada por todas minhas amigas and família que eu e vivemos um romance escondido e tem quem tenha certeza agora pronto 
144,Romance,a personagem de red fanficando com menino que ela viu e nunca falou kkkkkkk gente como a gente
145,Romance,a lista de favoritos dessa menina uma fic pior que a outra
146,Romance,menina que me mandou a fic chaennie da jen pornstar eu te amo e te odeio 
147,Romance, acordei e só vi isso na minha tl hj o povo criando fic de encontro entre eles e não da importância dela ganhando um prêmio… triste
148,Romance, a pessoa desconfortavel pq a menina com anos escreveu fanfic
149,Romance, corinthians ao caralho o que acha de fazer uma fã fic de romance e sexo homossexual muito quente com muitas reviravoltas sobre luan guilherme e kratos de itaquera vai bombar 
150,Romance,escreve bem a fanfic é boa mas é insuportável que menina imatura do caralho pqp
151,Romance, antes desse menino nascer já falavam coisas horríveis dele eu sei porque acompanhei na época nunca entendi como esse povo acha normal isso falar assim de uma criança tudo isso porque ele não se encaixa na fanfic delas
152,Romance,menino aleatório que apostou corrida comigo me puxou pra dançar valsa sem música no lado do teatro para completar uma fic só faltou virar pra mim e falar pega um emprego pra ti affs
153,Romance,sou apaixonada na escrita de fanfic dessa menina acho que se ela fizesse um artigo de trezentas páginas me convencendo que a terra é sim plana eu iria acreditar
154,Romance,ai esse menino toda semana inventa uma fic pra poder hitar
155,Romance,a menina da fic ap 
156,Romance, menina eu jurava que quem tinha criado deus era adão cai na fanfic da pagina ateu do facebook
157,Romance,cuspi meu café com a menina fanficando o filho do toto e a filha do horner sendo um casal no futuro
158,Romance, ele literalmente faz pop atenção galopa dançarina vai menina desde sempre ele foi pop funk o povo gosta de criar fic dizendo que não é
159,Romance,acabei de ler uma fic que o jaehyun eh tipo lenda urbana que fica presa no espelho dai a menina invoca ele eles se apaixonam mas wle nao pode sair fiquei mal pq ele aprisionava qm chamava ele mas ele nao prendeu ela por amor
160,Romance, sim sim mas a versão original eh uma fic porem eh mt lindinha eh um romance entre dois garotos q se passa nos anos eles tem entre anos eh super fofo e tem zero sexualização dos personagens fora asreferencias super engraçadas e fofas
161,Romance, a menina que inventou a fic com a zendaya nesse pique
162,Romance,do nada lembrei da fic que a lily rosna para lena lena elizabeth pare de roscar você é uma menina e não um cachorro 
163,Romance,ele não morreu senti falta deles se casando e tendo filhos no final esse é o meu gosto literário pq eu sou fanfiqueira de romance mas amei o livro 
164,Romance,cadê a menina que criou uma fic romântica que o gustavo entrou no bbb só pra ficar com a laís e salvar dos paredões pq ele já gostava dela desde aqui de fora assistindo o programa preciso dizer pra ela que isso não é fic isso é real ele admitiu na madrugada mais ou menos isso
165,Romance,a mãe da menina perguntando ontem qual o assunto do livro que a menina queria comprar que é uma fic taekook se eu não enganada eu até engasguei com meu milkshake
166,Romance,minha atual fanfic eh ser famoso ao ponto de ser amigo da luisa sonza a gente ficar muito próximo ela se apaixonar por mim e a gente viver um romance n da sou obcecado por essa
167,Romance, não é fic não foi o joão que falou que ela falava que se tivesse uma menina o nome seria marcela
168,Romance,o povo jura que eu e as meninas somos um trisal em festa e eu pensei que isso era só fic mas ontem a menina perguntando fez a gente ter certeza kkkkkkkk
169,Romance,pessoal parece que é tão carente com amizade que qualquer pessoa mais afetiva ficam fanficando como romance isso é chato pra caralho
170,Romance, acho um absurdo ficarem pressionando a jade ou qualquer mulher pra ficar com um cara só porque criaram uma fanfic na cabeça como falei não gostava do jogo da jade mas ela tem todo direito de querer um romance ou não 
171,Romance,posso dizer firmemente e com convicção que era só uma fic tá kkk já passou é que como já era crush eu me iludi mais rápido e pensei que era o príncipe kakaka mas acabou como as outras kkkkkkoll
172,Romance,a menina falando que eu tenho q parar de ser fanfiqueira só pq eu disse q a minha madrasta é tia do meu irmão guria doida
173,Romance,fui procurar saber a historia da menina q apagou a fic pq virou stan da camille puramente pela fofoca pq nao faço ideia de q fic era essa
174,Romance,ideia de date sair pra tomar um café e fazer um devocional juntos gt gt gt gt gt gt gt eu nem gosto de café mas iria pela vibe da fanfic 
175,Romance, meu deus que porra é essa kkkkkkkkkkkkk um cara com foto de anime pronome na bio é impossível essa pessoa ter comido alguém na vida kkkkkkkkk como uma menina de tem ex namorados e logo em seguida eu o primeiro namorado dela fic mal contada dms kkkkkkk
176,Romance,já to fanficando o encontro do meu trio 
177,Romance,menina trabalha lendo fanfic ala kkk
178,Romance, oh que criativo da parte da stephenie meyer escrever uma fanfic do my chemical romance como fadas que brilham ao sol 
179,Romance, q fic é essa menino kkkkk bota ele pra dormir cntg logo
180,Romance,q menino gato ksksksksksksk afff a fic tá prontinho
181,Romance, tive ainda mais com elas fanficando com eles eu fui perceber que era anos quando ela falou que o incidente do panda era achei que era em perdi tudo no menino sendo fã da banda tbm
182,Romance,tanto faz se vc é bbl bbg ou porra nenhuma só deixa o fr die em paz mano o menino é só uma criança que não tem nada a ver com as fic de vcs independente de shipp ou não nessa caralha o louis tem vergonha de fãs como vocês
183,Romance, juro esse menino não tem nada nem um final feliz ele tem em fanfic
184,Romance, mas nem era aparentemente a vivi já postou stories com o menino creio pq já começou a chegar a fanfic lá 
185,Romance,que ódio velho a menina tá ficando com deus e o mundo mas eu não posso ficar com ela por causa da tua fic me poupe
186,Romance, ai eu já não gosto desse negócio de romance o melosidade nem me dá vontade de ler essas coisas parece fanfic
187,Romance, maldita acreditou na fic dela crente se eu encontro na rua
188,Romance,aproveitando essa vibe desse filme vo contar um segredo pra vocês na minha juventude quando velkoz lançou desenhei uma fanfic onde eu me coloquei como protagonista e transformei o velkoz em uma garota escrevi esse romance entre eles dois inspirado no conto do zed e syndra 
189,Romance,quero ler um romance bem água com açúcar algo beeeem fanfic mesmo
190,Romance,a menina se acaba na siririca lendo fanfic de membros do bts não consegue ver uma amizade entre dois homem heteros em uma obra nipônica sem fantasiar que eles formam um casal gay e além disso tudo ainda consome em massa hentai yaoi somente por ter sexo gay 
191,Romance,to fanficando que o encontro joade veio ai
192,Romance,uma fic onde o baekhyun dá um fora no chanyeol no ensino médio dizendo que só vai gostar dele quando ele for famoso e aí o menino vai vira rockstar e toca no rádio dele todo dia
193,Romance,o povo reclamando que a menina rica saiu mas ela deixou outra fanfiqueira na casa relaxa 
194,Romance,assisti o filme com a menina fanficando desenhando enquanto eu desenhava o seungmin
195,Romance, sla pode parecer grosseria e eu tbm acharia se já não tivesse lendo a fic mas quando vc vê os coments percebe q algumas pessoas não tão preparadas pra ler dark mafia romance como tem q ler então não sei oq pensar sobre
196,Romance,menina volta c a fic plmds so a primeira eu preciso terminar ela
197,Romance, eu não tô entendendo eu gosto da fic obv q eu vou ficar triste a única coisa q eu falei pra menina é “sério “ quando ela postou q deitou pra camille eu parei de seguir e não citei o nome dela em mais nada
198,Romance, aquele anime de um cara mafioso que tem um romance bem fanfiqueiro com um guarda costas que eu não lembro o nome do anime do protagonista e muito menos do guarda costas kkkkk só sei que é muito bom até o mangá eu li mas não memorizei nenhum nome
199,Romance,chocada com a fic que essa menina inventou kkkkkkkkkkkk
200,Romance,a gay fanficando que eu tô num date bicha acorde 
201,Romance,não sei se assisto banana fish ou algum anime de romance faço minha tarefa de matemática ou leio fanfic no final os três vao mi fazer chorar ent aissm
202,Romance,vontade de assistir filme de romance clichê adolescente e inventar uma fic completamente aleatoria com uma pessoa q nunca tinha pensado na possibilidade
203,Romance,sdds do romance q só tive nas fic da minha cabecinha serelepe
204,Romance,fui inventar de aceitar betar a fic da mini e me encontro depressivo aqui e é só o prólogo
205,Romance,mano a priya sou eu com anos kkkkkkkkkkkkk emo apreciadora fanfic e my chemical romance e olha as coisas não mudaram tanto kkkkkkk 
206,Romance,tinha uma menina chata pra kcete na minha sensação se achava muito vontade de mandar ela tomar no c aí tbm tem a menina que tava do lado da minha tia né que tanta coisa boa pra falar do show vai falar de fanfic hot ainda viu tirando isso tudo bem 
207,Romance, mulher eu te cacei por todos os lados e não te encontrei kkkkjkk fiz um twitter pra tentar uma última vez te acheiii estou doida pra ler novamente a fic o contrato aonde eu encontro ela necessito delaaa
208,Romance,já imaginei todo meu romance no início porém meu amigo já imaginou todo o restante kskksksksks a fic
209,Romance,eu dei match com uma menina super bonita e descobri q ela tem um relacionamento fechado e só tava atrás de pessoa pra conversar poderia ter botado logo na bio pq eu nao precisava ter criado a fic toda na minha cabeça 
210,Romance, enquanto n te encontro senti mt vibe de fanfic
211,Romance, enquanto n te encontro senti uma vibe bem fanfic
212,Romance,eu quero voltar a ler fic e viver no mundo delas tá difícil demais viver no meu talvez eu tenha inspiração já que não sei escrever romance
213,Romance,a maioria das minhas amigas vivem em um romance de fanfic e enquanto eu mas dizem que os humilhados serão exaltados 
214,Romance, ain pra que estragar uma amizade tão linda com romance pq é fanfic e eu faço o que eu quiser porra
215,Romance,acabei de pedir um livro ou fic de romance fofinho e você compartilha uma fic que junta duas coisas que amo 
216,Romance,eu queria que me indicassem um livro de romance bem fofinho ou uma fic supercorp ou swanqueen pra dar uma aquecida no meu coração
217,Romance,os caras mafioso de fanfic quando vê a menina que ele vai sequestrar e fazer amar ele pra sempre 
218,Romance, esse menino ai ele fez um livro autoral e postou no watt só q a capa é um desenho da foto do josh essa foto de cima só q o livro não tem personagens do n u como se fosse uma fic entendeu é um livro dele com personagens dele e n uma fanfic do now united ai eu so qra mostrar
219,Romance,e pensar que toda saga de crepúsculo é uma fanfic de my chemical romance mn
220,Romance,odeio quando leio fic que menina é trouxa e virgem e o cara que se diz fodão tira ela ranço de homens
221,Romance, menina essa fic vai demorar muito kkkkk
222,Romance,kkkkkk mt bom falaram que gostam de ler caso clínico e a menina pensando que era algum podcast ou fanfic ahauahshshs
223,Romance, é uma fic do harry dark romance eu acho mas só vejo o povo falando mal
224,Romance, a menina ta presa na propria fic
225,Romance, já tô fanficando imagina um encontro da chiara e da giulia seria incrível provavelmente não vai acontecer mas não custa sonhar
226,Romance,eu e a camila fanficando com um alexandre pai de menina perdido no multiverso 
227,Romance,serginho levou block e nem tava sabendo de nada o menino ta criando uma fic na cabeça kkkkkkkk
228,Romance,a menina não teria criado toda essa fanfic na cabeça dela se as teumes não tivessem dado atenção 
229,Romance,mano a menina pega o trem em poa e desce sabe deus onde pra ir pra luz sendo q era só ir direto a fic de centavos 
230,Romance,a vida dessa menina é uma verdadeira fic né 
231,Romance, os nomes mdskkkkkkkkkk mano esse menino era tipo o zayn das fanfic
232,Romance, tal qual um encontro em fanfic
233,Romance,a hermione viveu muito a fic da menina nerd que chama a atenção do capitão do time de quadribol por estar pouco se fudendo pro fato dele ser famoso krum ficou de quatro rapidinho
234,Romance, ainnn já to fanficando o encontro deles kkkkk
